                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4015,                 4.5022,                0.96297,                0.04926,                0.15248,                0.03927,                0.03102,                0.79666,                 2.9175,                0.82395,             5.9633e-05,             5.9633e-05,             5.9633e-05
                      2,                0.95628,                 2.9819,                0.85221,                0.16581,                0.39397,                0.18221,                0.15014,                0.66338,                 2.2467,                0.80809,             0.00011536,             0.00011536,             0.00011536
                      3,                0.85606,                 2.4045,                0.84013,                0.34375,                0.58371,                0.40575,                0.34258,                0.62021,                 1.7026,                  0.803,             0.00016715,             0.00016715,             0.00016715
                      4,                0.80042,                 1.9558,                0.83317,                0.55238,                0.69624,                 0.6571,                0.56561,                0.57212,                 1.2615,                0.79831,             0.00016128,             0.00016128,             0.00016128
                      5,                0.76416,                 1.6204,                0.82785,                0.67908,                0.77655,                0.77725,                0.66979,                0.56281,                 1.0018,                0.79652,             0.00015537,             0.00015537,             0.00015537
                      6,                0.72689,                 1.3812,                0.82415,                0.74516,                0.81948,                0.84334,                0.73407,                0.53838,                0.84318,                0.79432,             0.00014946,             0.00014946,             0.00014946
                      7,                0.70879,                 1.2337,                0.82126,                0.80031,                 0.8481,                0.88037,                0.76874,                0.53346,                 0.7378,                0.79298,             0.00014356,             0.00014356,             0.00014356
                      8,                0.69209,                 1.1255,                0.81839,                0.82159,                0.87324,                0.90201,                0.79019,                 0.5232,                0.68107,                0.79221,             0.00013765,             0.00013765,             0.00013765
                      9,                 0.6809,                 1.0531,                0.81679,                0.83059,                0.89647,                0.91759,                0.80878,                0.50894,                0.63054,                0.79028,             0.00013174,             0.00013174,             0.00013174
                     10,                0.66432,                 0.9875,                 0.8147,                0.85604,                0.90462,                0.93504,                0.82568,                0.50716,                0.58627,                0.78959,             0.00012584,             0.00012584,             0.00012584
                     11,                0.65067,                0.94073,                0.81253,                0.87817,                0.90748,                0.94687,                0.83708,                0.49961,                0.55363,                0.78886,             0.00011993,             0.00011993,             0.00011993
                     12,                0.64643,                0.90042,                0.81215,                0.87586,                0.91614,                0.94671,                0.84304,                0.48526,                0.53937,                0.78728,             0.00011402,             0.00011402,             0.00011402
                     13,                0.63353,                0.85947,                0.80975,                0.88536,                0.92382,                0.95548,                0.84892,                0.49048,                0.51536,                0.78774,             0.00010812,             0.00010812,             0.00010812
                     14,                0.62722,                 0.8284,                0.81075,                0.89416,                0.93238,                0.96137,                0.85616,                0.48576,                0.49438,                0.78668,             0.00010221,             0.00010221,             0.00010221
                     15,                  0.622,                0.81016,                0.80814,                0.89451,                 0.9347,                0.96169,                0.85383,                0.49539,                0.48905,                0.78753,             9.6302e-05,             9.6302e-05,             9.6302e-05
                     16,                 0.6139,                 0.7763,                0.80729,                 0.9211,                0.92825,                0.96928,                0.86646,                0.47998,                0.46246,                0.78581,             9.0395e-05,             9.0395e-05,             9.0395e-05
                     17,                0.60407,                0.75439,                0.80639,                0.90935,                0.94521,                0.96921,                0.86802,                 0.4726,                0.45274,                  0.785,             8.4488e-05,             8.4488e-05,             8.4488e-05
                     18,                0.59721,                  0.734,                0.80643,                0.91716,                0.94196,                0.97137,                0.87096,                0.46793,                 0.4417,                0.78459,             7.8581e-05,             7.8581e-05,             7.8581e-05
                     19,                0.59557,                 0.7248,                0.80548,                0.91291,                 0.9493,                0.97039,                0.87091,                0.46791,                0.43672,                0.78399,             7.2674e-05,             7.2674e-05,             7.2674e-05
                     20,                0.58837,                0.70751,                0.80586,                0.92297,                0.94938,                  0.974,                0.87263,                0.47118,                0.42821,                0.78452,             6.6767e-05,             6.6767e-05,             6.6767e-05
                     21,                0.52298,                0.55516,                0.79513,                0.91673,                0.95379,                0.97259,                0.87774,                0.45385,                0.41935,                0.78278,              6.086e-05,              6.086e-05,              6.086e-05
                     22,                0.50791,                0.53371,                0.79375,                0.91354,                0.95665,                0.97307,                0.87906,                0.45171,                0.41328,                 0.7827,             5.4953e-05,             5.4953e-05,             5.4953e-05
                     23,                0.50283,                0.52017,                0.79328,                0.92603,                0.95755,                0.97551,                0.88347,                0.44528,                0.40104,                 0.7819,             4.9046e-05,             4.9046e-05,             4.9046e-05
                     24,                0.49681,                0.50923,                0.79173,                0.92429,                0.95591,                0.97508,                0.88483,                0.43981,                 0.3962,                0.78134,             4.3139e-05,             4.3139e-05,             4.3139e-05
                     25,                0.49441,                0.49931,                  0.792,                0.92825,                0.95698,                0.97589,                0.88643,                0.43707,                0.39073,                0.78084,             3.7232e-05,             3.7232e-05,             3.7232e-05
                     26,                0.48964,                0.49078,                0.79149,                 0.9306,                0.95999,                0.97789,                0.88819,                0.43666,                0.38388,                0.78101,             3.1325e-05,             3.1325e-05,             3.1325e-05
                     27,                0.48476,                0.48229,                 0.7904,                0.93081,                0.96133,                0.97788,                0.88786,                0.43657,                0.38182,                0.78074,             2.5418e-05,             2.5418e-05,             2.5418e-05
                     28,                0.48317,                0.47879,                0.78962,                0.93228,                0.95645,                0.97747,                0.89042,                0.42861,                0.37871,                0.78004,             1.9511e-05,             1.9511e-05,             1.9511e-05
                     29,                 0.4797,                0.47192,                0.79032,                0.93044,                0.96065,                0.97737,                0.89031,                0.43012,                0.37781,                 0.7801,             1.3604e-05,             1.3604e-05,             1.3604e-05
                     30,                0.47754,                0.46605,                0.79034,                0.93384,                0.95867,                0.97754,                0.89044,                0.42891,                 0.3748,                0.77991,              7.697e-06,              7.697e-06,              7.697e-06
